Número da Carga;Data da Carga;Inicio Emissão Doc.;Fim Emissão Doc.;Transportador;Filial;Veículo;Modelo do Veículo;Tipo de Carga;Tipo de Operação;Rota;Nº Pedido Embarcador;Nº Pedido Interno;Km Rodado;Grupo de Pessoas;Código Remetente;Remetente;Origem;UF Origem;Código Destinatário;Destinatário;Destino;UF Destino;Categoria Destinatário;Entregas;Peso Carga;Situação;Valor ICMS;Valor NF;Valor Frete;Nº NF-e;Pallets;Motoristas;MDF-es;Temperatura;Contrato de Frete;Nº Carga Agrupada;Data Carregamento;CNPJ do Transportador;Data Descarregamento;Número CTe
"494500019897";"20/06/2025 00:38";"";"20/06/2025 00:51";"TRANSPORTES FRAMENTO LTDA";"7471 - Sams REFRIO - SP";"GHG9C18, MFS2395";"Carreta Refrigerada";"CONGELADA";"FRETE DEDICADO";"7471 - 4677 + 4938 + 4044 + 4067";"";"";419,00;"SAMS SAD";"7471";"SAMS SAD";"ITAPECERICA DA SERRA - SP";"SP";"4677, 4938, 4044, 4067";"SAMS SAD";"PIRACICABA - SP / CAMPINAS - SP / AMERICANA - SP / INDAIATUBA - SP";"SP";"Loja";4;0,00;"Finalizada";427,57;0,00;3.563,10;"";0,00;"";"";"";"7 - 7 - SP - Framento -Por KM -Conjunto";"108991";"";"00.766.315/0003-06";"";""
"494500019891";"18/06/2025 11:00";"";"20/06/2025 00:51";"TRANSPORTES FRAMENTO LTDA";"7471 - Sams REFRIO - SP";"GHG9C18, MFS2395";"Carreta Refrigerada";"CONGELADA";"FRETE DEDICADO";"7471 - 4938";"";"";419,00;"SAMS SAD";"7471";"SAMS SAD";"ITAPECERICA DA SERRA - SP";"SP";"4938";"SAMS SAD";"CAMPINAS - SP";"SP";"Loja";1;0,00;"Finalizada";0,34;0,00;2,84;"";0,00;"";"";"";"7 - 7 - SP - Framento -Por KM -Conjunto";"108991";"";"00.766.315/0003-06";"";""
